序号,stock_code,stock_name,net_profit,net_profit_yoy,revenue,revenue_yoy,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,operating_profit,total_profit,announcement_date,report_date_param,report_type,资产-货币资金,资产-应收账款,资产-存货,total_assets,资产-总资产同比,负债-应付账款,负债-预收账款,total_liabilities,负债-总负债同比,asset_liability_ratio,equity,net_cash_flow,净现金流-同比增长,operating_cash_flow,经营性现金流-净现金流占比,investing_cash_flow,投资性现金流-净现金流占比,financing_cash_flow,融资性现金流-净现金流占比
169,688159,有方科技,27806020.27,57.99,549091583.49,-40.8600201553,438619620.32,11790529.63,16387414.02,9872047.0,501937208.88,31417909.96,31418250.82,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
170,688155,先惠技术,153546863.33,163.46,1033161578.0,98.4071653054,720072034.64,1542683.89,33945700.41,12220583.27,809049353.32,229961030.92,229945277.63,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
171,688152,麒麟信安,-8627248.95,36.93946898985,41234364.99,14.788437829,9807506.64,24779367.26,8748544.17,140084.58,64651502.66,-9907349.97,-9920391.57,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
175,688133,泰坦科技,-32387530.99,-731.36,582902884.3,-3.4880196495,472050672.6,46784672.02,53431189.52,11556195.75,627442346.21,-36246003.45,-36557444.95,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
184,688079,美迪凯,-41487436.96,-159.425014096078,169334154.66,13.2694212239,138758137.02,3712248.94,19269775.45,20235966.1,215187639.6,-49680150.14,-49876834.01,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
187,688073,毕得医药,46829140.4,52.57,323276733.74,9.0770537683,165248354.14,35239041.36,33618012.56,12663764.29,262853915.44,61695880.68,61379932.03,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
188,688071,华依科技,1350867.04,-54.32,156541956.48,10.5995481069,110437332.38,4967132.18,15389840.83,10239931.78,153589422.53,988934.99,1151413.39,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
189,688070,纵横股份,-18361509.78,34.26,52094118.27,34.3422101552,25007792.28,25486326.77,15996171.62,2985813.38,76170252.86,-19718197.22,-19712781.89,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
199,688031,星环科技,-55998432.6,32.997855869461,81245830.77,26.2426151238,48382315.09,29545857.9,22139304.44,417993.19,147375302.6,-55898063.42,-55998432.6,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
201,688025,杰普特,97678469.44,170.98,660862470.64,92.7494410044,376955217.8,40992675.43,50758523.5,11120728.87,529021287.03,118013495.18,115906969.31,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
204,688020,方邦股份,-17312782.48,-1305.94,79927738.16,-9.9209780735,56670588.72,3320508.47,14895321.02,1179911.52,95099364.18,-15249714.02,-15304082.58,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
211,605588,冠石科技,-21934651.17,-134.238104565561,317397019.83,-5.8397267903,320343436.41,4795849.84,9629456.21,5054352.97,351815442.64,-27318003.31,-27317981.18,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
214,605399,晨光新材,-19352506.75,-309.125168332935,334516320.76,43.8645277307,306336637.8,7846053.33,16514693.16,2911623.51,347546018.8,-17956812.68,-18239594.04,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
215,605366,宏柏新材,-28023458.33,-398.708044291505,390712067.07,9.8045278798,382060921.97,8367942.57,19770483.53,11235561.89,436907712.19,-41205123.51,-41042720.1,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
217,605288,凯迪股份,-8590968.16,-149.66,303520552.71,9.326844637,235546070.83,14804792.1,23522621.78,14759130.95,309074268.95,-7154849.3,-8365496.87,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
219,605286,同力天启,9094653.46,-87.47,389383489.18,-28.3526998729,325962587.93,2598286.59,33189835.18,5775970.72,381385983.17,14288275.73,13829662.89,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
220,605259,绿田机械,44959402.23,-21.69,634729591.28,-0.6120541724,514665828.2,16986929.9,15618747.81,4948109.61,587346525.42,44802582.4,44783912.05,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
224,605158,华达新材,-28854048.84,-173.98,1451313234.41,3.6257481973,1411689412.66,3006891.29,15458400.48,6188902.85,1488828031.57,-28110832.03,-28032492.98,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
226,605128,上海沿浦,46312679.86,40.99,448854823.27,3.7308457713,372050848.45,296027.02,14963201.66,-230259.47,408457258.99,56132836.67,54036351.0,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
230,605108,同庆楼,16763874.28,-67.65,717322014.88,3.637684961,594961151.95,39891530.04,29817509.9,23120221.65,694367041.14,27011047.56,26543947.29,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
232,605077,华康股份,22171444.34,-72.64,1186818531.72,45.345921091,1051666684.1,9105246.3,21316629.52,32787350.01,1160408360.86,30005535.22,26613787.34,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
234,605068,明新旭腾,-15415359.31,-246.87,302360057.47,7.4003017305,260629384.28,3276329.8,28648344.94,14598649.95,330673288.41,-19853029.05,-20507660.75,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
235,605056,咸亨国际,25998576.42,20.52,878636366.27,37.3358577792,727623406.57,67630956.76,48021338.32,-3185337.7,858243902.46,36767175.6,36176372.4,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
236,605050,福然德,86556500.23,-4.71,2543643480.37,4.3122812643,2384499111.23,7584289.79,18559704.19,-810879.73,2418607517.78,118715020.68,118706669.4,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
238,605016,百龙创园,120585818.74,48.1,392610242.01,25.3153943,215511169.98,9125681.14,8132500.29,909759.83,251508302.2,142130656.12,142209702.59,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
240,605006,山东玻纤,10082317.29,15.43,844809576.19,39.0540287866,722455486.36,5331282.18,24827418.76,22344370.44,817820033.58,16818299.92,14638443.2,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
242,603989,艾华集团,68822399.97,-0.87,988746446.25,4.7617383487,765001646.89,36878137.04,47989928.88,5075499.87,922110118.61,79917055.65,80117533.5,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
243,603988,中电电机,4501235.39,7.21,117357695.59,-0.614131895,83154289.2,7615521.81,13623746.98,787462.57,110789893.22,6158136.58,5971932.44,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
246,603980,吉华集团,18256076.97,187.89,411430548.95,20.8876283272,346240066.67,5912065.03,27080195.64,9336255.6,403227579.6,21570785.59,21563822.42,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
251,603950,长源东谷,82845606.23,6.65,500827903.15,-0.0655407839,372165018.87,3974056.64,18630452.96,2972139.97,425739394.93,93062440.53,93094895.67,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
252,603929,亚翔集成,247952192.27,202.41,1130437772.48,35.3811962439,847506439.92,1133405.11,17359459.47,-10529040.49,867550823.8,300554279.04,300555589.15,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
254,603918,金桥信息,-30460243.69,-31.559616304361,120638586.96,19.3204909748,93493507.86,32255340.13,13292736.54,-604512.82,145206392.34,-27633761.75,-27624407.72,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
255,603917,合力科技,-5477290.61,-305.41,122760483.65,0.5365392348,93109426.33,3970425.06,10133620.77,7745676.67,121826396.89,-3406077.93,-3461825.81,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
256,603912,佳力图,-20252831.42,-57.834328063638,143075831.36,5.3465559524,128814316.65,13780212.74,5768529.84,4873975.44,168313202.64,-25609908.83,-25607280.26,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
268,603859,能科科技,49079656.45,0.18,333261870.53,-1.0180271528,158176598.26,21781141.3,21082986.52,3909059.31,263591157.89,65891189.24,73696928.89,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
274,603823,百合花,42938466.15,-6.23,572864807.87,0.7361375931,458191076.28,5357656.94,21805673.88,4418125.0,517451826.83,54845817.19,56655725.72,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
278,603815,交建股份,57353725.54,73.64,634407822.87,-19.5865094922,563018230.34,4137119.6,18493504.67,17044949.05,607850633.61,76492853.12,75667574.96,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
282,603801,志邦家居,-94344390.08,-324.22,575327710.8,-29.6305635147,426553204.11,130859513.5,70574315.71,6246934.65,680740870.01,-122313033.7,-122255646.63,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
283,603800,洪田股份,-16020835.19,36.55,117862064.14,-12.7762625027,120096511.14,3065320.67,19523824.76,5320303.52,156381609.77,-19600853.92,-19736907.0,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
286,603759,海天股份,3868426.78,-92.25,1513853762.63,366.883377657,1354242299.74,10374212.71,61733715.73,43074894.17,1498433221.46,12629372.16,12268002.04,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
287,603738,泰晶科技,23044495.9,165.22,249233100.14,24.3117772476,198765461.91,5128310.68,15772225.2,-1133931.89,230245600.24,24574891.46,27235841.09,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
291,603726,朗迪集团,87423301.98,133.72,392361843.34,-16.560333914,305535701.65,8786703.43,20477319.0,2495898.84,358791370.78,112656011.8,111253387.79,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
296,603711,香飘飘,93389265.22,597.413587556063,878318411.2,51.413175804,519584993.64,171382531.51,54337917.93,-3838496.05,759079146.37,120762993.17,121031708.15,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
303,603687,大胜达,22063254.64,-25.94,517348913.07,5.2782353554,417243147.51,10211960.06,28466553.75,-2293711.8,478550279.28,41500788.77,42072675.62,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
304,603668,天马科技,6705498.83,-61.24,1548359809.25,3.5042988565,1417531201.61,13145167.51,33944209.87,41481061.48,1530755279.05,10281474.14,10503717.58,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
307,603665,康隆达,15982869.88,-85.99,353742676.44,-6.8762707621,279067387.04,6350061.45,23094303.84,26103283.48,349213535.55,10115724.7,9778251.06,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
311,603628,清源股份,4500021.03,-85.93,369077824.29,2.2575466887,275060492.2,37242317.69,17936854.61,21230929.75,367402764.29,5424789.99,4244941.81,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
314,603602,纵横通信,4966361.76,45.22,448785722.98,29.9237383193,376889212.41,14105990.73,26476518.46,2925761.43,441141680.74,15494112.63,15442535.42,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
315,603598,引力传媒,10388526.16,37.73,2222200089.85,11.6666920185,2151286841.5,35977452.52,19801930.92,2975266.73,2214130535.64,9045362.92,9047375.88,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
317,603577,汇金通,13601940.35,-9.04,801278150.28,-4.3156695244,701512207.03,15834676.19,15109601.64,24373304.66,793462940.37,14342108.2,15276517.13,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
318,603569,长久物流,950230.95,-76.14,733021596.66,-17.8004881532,644286717.07,21781361.49,48257551.78,17144914.14,740762391.9,6686330.18,9419351.75,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
323,603535,嘉诚国际,18421304.03,-59.76,218054645.27,-19.2042167716,156795733.22,5389204.96,14446282.24,14947342.9,198761731.53,21504641.79,20611829.66,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
325,603528,多伦科技,-20172714.63,-795.81,78456107.82,-25.3108540234,55321636.76,12855531.29,22555493.26,402158.03,104081287.82,-23878742.43,-23878083.45,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
326,603520,司太立,20953600.9,46.08,711269910.7,3.6994363378,552984440.38,32709659.6,33035747.34,28705353.74,680653161.59,27244503.45,27634893.47,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
327,603507,振江股份,97062588.01,1249.12,1488625219.61,58.8700900546,1217233847.94,12677959.15,57224945.23,84373225.96,1409447076.43,105550897.85,105273803.3,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
330,603500,祥和实业,39322873.36,10.93,180665444.52,-4.581508321,122736238.47,1500128.39,12496846.62,928247.68,145092126.74,51442489.04,51311361.0,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
331,603499,翔港科技,30616945.7,-25.66,262881273.77,2.0016819786,197931893.33,5081027.03,17363530.86,2228841.55,234736052.69,37493097.5,37234647.51,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
333,603409,汇通控股,41598341.43,43.14,317547276.61,22.5613884639,227731862.47,4185540.86,21491270.48,-238259.05,272294290.64,49366200.89,49364287.5,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
340,603381,永臻股份,24364600.87,-9.29,2391234586.45,-7.5009441324,2278400677.12,11701603.35,30739896.11,63834348.53,2407095619.35,24843593.81,24365537.72,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
343,603368,柳药集团,224586456.96,-19.02,5377272243.65,1.1340116172,4755631119.24,146025420.59,95068227.75,40653827.96,5065165311.08,275808800.3,273142798.85,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
346,603357,设计总院,19918980.18,-76.69,345912366.3,-29.7560114849,238588521.74,15840944.83,31730144.4,829082.9,316306786.4,24766785.96,24519759.72,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
349,603350,安乃达,27094102.34,-13.96,470912168.68,-5.4475826454,393480941.85,10098913.39,17517844.67,2896011.05,447322050.96,29648793.87,29558588.85,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
350,603344,星德胜,33570444.52,-19.17,600874399.32,9.3183548855,506265644.19,5013939.7,18333561.01,12989858.7,567923561.5,36955629.59,36604519.56,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
