date,open,high,low,close,volume,amount,n_stocks,index_code,source
2026-03-27,980.1550128903954,1022.048720026902,969.4436473139164,1009.094833500328,10251785342.0,423099852396.12,1997,932000,computed_local_equal_weight_proxy
2026-03-30,996.2035667977088,1027.6280290507693,980.8495699708401,1012.429284883128,10541270784.0,435838534834.23,1997,932000,computed_local_equal_weight_proxy
2026-03-31,1014.4819230712624,1037.07433929426,987.5236660785687,997.8317522667344,11081474239.0,454977059902.91,1995,932000,computed_local_equal_weight_proxy
2026-04-01,1009.2041931842182,1034.9157271389097,990.3676045623339,1016.7341484709109,10358870627.0,466539566695.04,1996,932000,computed_local_equal_weight_proxy
2026-04-02,1016.3886321913387,1034.1685967782134,986.3653733112843,1000.424466510381,10386539368.0,447785329413.21,1995,932000,computed_local_equal_weight_proxy
2026-04-03,994.987671513579,1012.2949469412423,963.6500788287652,977.1522641412461,9662419380.0,412267040118.65,1995,932000,computed_local_equal_weight_proxy
2026-04-07,984.746202646761,1012.9165759445955,969.694546138066,993.051291102818,8982569316.0,391005450468.44,1997,932000,computed_local_equal_weight_proxy
2026-04-08,1006.0040700736939,1041.863291080978,994.7978132940048,1033.6851088383848,11421679188.0,511292820545.05,1998,932000,computed_local_equal_weight_proxy
2026-04-09,1019.7777493120631,1046.4421119700544,1000.75396006213,1022.9053150034384,10286567309.0,492494706622.27,1998,932000,computed_local_equal_weight_proxy
2026-04-10,1029.7916577048336,1056.7027851723865,1015.0002172564336,1032.1338418003131,10051037108.0,495429117655.76,1999,932000,computed_local_equal_weight_proxy
2026-04-13,1025.37155363957,1052.0778479609803,1009.4269347292573,1033.6533738216694,10014537754.0,460236504108.81,1999,932000,computed_local_equal_weight_proxy
2026-04-14,1036.7323479635918,1063.0864144658924,1017.9311873734787,1045.4019480751301,10490015902.0,511544793316.84,1999,932000,computed_local_equal_weight_proxy
2026-04-15,1049.7032407187212,1072.2929197163435,1026.297844776644,1041.2756274843466,11131468042.0,535177402240.11,1998,932000,computed_local_equal_weight_proxy
2026-04-16,1039.8165528125742,1072.2808307345797,1025.4811608154487,1058.7967125050639,10838966913.0,536691869011.57,1998,932000,computed_local_equal_weight_proxy
2026-04-17,1050.5993088768469,1081.0065950068001,1033.340499367324,1062.2077025063975,11002957791.0,550029503706.56,1998,932000,computed_local_equal_weight_proxy
2026-04-20,1063.9185472286663,1091.96140834771,1044.6253864968462,1071.1475860603323,11821037762.0,581216631439.03,1998,932000,computed_local_equal_weight_proxy
2026-04-21,1062.0945819286035,1088.5162972362093,1039.5465526624264,1067.9783356203905,11806307271.0,555949839176.98,1998,932000,computed_local_equal_weight_proxy
2026-04-22,1054.8289000488855,1088.2062670811613,1039.3884954548143,1073.1381526041,11891812206.0,570176730067.37,1997,932000,computed_local_equal_weight_proxy
2026-04-23,1078.1472923617691,1097.7560827068805,1040.5839893794655,1058.0177376216325,13049862571.0,597560380569.68,1997,932000,computed_local_equal_weight_proxy
2026-04-24,1053.6549437679298,1079.5202310376478,1027.9804192886495,1051.8552909061905,13048709670.0,553689565236.09,1997,932000,computed_local_equal_weight_proxy
2026-04-27,1048.9899615155787,1083.2384360473097,1027.9447785533,1063.8796990417263,12502235125.0,542343799953.43,1998,932000,computed_local_equal_weight_proxy
2026-04-28,1061.6445618685864,1084.3747700415004,1031.1047099941309,1050.457997441411,12252499557.0,545366800502.51,1999,932000,computed_local_equal_weight_proxy
2026-04-29,1045.290337871183,1083.2733934044736,1030.3316440062213,1063.2483439061352,12300390386.0,542659559639.71,2000,932000,computed_local_equal_weight_proxy
2026-04-30,1059.9735930010124,1091.072434828492,1041.2200086199782,1068.6688074507495,12275860044.0,543162896292.44,2000,932000,computed_local_equal_weight_proxy
2026-05-06,1073.3501465788656,1108.3090412975523,1055.841848686143,1085.9660872388104,13369475188.0,634031393142.07,1999,932000,computed_local_equal_weight_proxy
2026-05-07,1078.7935491002816,1119.039785974058,1062.6514050880437,1102.5144984334377,13170571701.0,661043981421.13,1999,932000,computed_local_equal_weight_proxy
2026-05-08,1097.1489949149998,1136.5422610331166,1080.1279890547598,1115.2574668365626,13140941040.0,662751281480.66,1999,932000,computed_local_equal_weight_proxy
2026-05-11,1117.115947855453,1150.786164984514,1090.9265961913804,1124.9823876961823,13770061166.0,730256794265.95,1999,932000,computed_local_equal_weight_proxy
2026-05-12,1120.7286517402617,1147.1610406210552,1086.3343483785557,1113.0235603160043,14128144522.0,681309983097.42,1999,932000,computed_local_equal_weight_proxy
2026-05-13,1102.6285080728023,1145.2969676349014,1084.6567670762531,1125.6477129283535,13355819013.0,686302967138.02,2000,932000,computed_local_equal_weight_proxy
2026-05-14,1128.278841524332,1155.7842846948154,1089.9525935450774,1105.764912963376,14122842821.0,705701176547.03,2000,932000,computed_local_equal_weight_proxy
2026-05-15,1104.079103406931,1144.1491956569528,1074.1078776731167,1103.4049874814252,13380611419.0,685234993791.7,2000,932000,computed_local_equal_weight_proxy
2026-05-18,1094.873870094947,1132.951698268824,1070.9594650395754,1104.5007274565337,11769945894.0,606794558735.3,2000,932000,computed_local_equal_weight_proxy
2026-05-19,1101.2873356200007,1136.293039912303,1074.4485188735698,1117.1128848839599,11886182736.0,609388379393.45,2000,932000,computed_local_equal_weight_proxy
2026-05-20,1100.100335847156,1133.8040943942835,1074.4887840425588,1107.7890039389813,12085838499.0,618030599310.37,2000,932000,computed_local_equal_weight_proxy
2026-05-21,1118.7001168819577,1150.7811857552458,1061.1464830369027,1072.865484931098,13766003191.0,730110146713.81,2000,932000,computed_local_equal_weight_proxy
2026-05-22,1070.7849653903484,1112.666054493842,1048.9624164480992,1095.1886071677357,11283633930.0,607438447631.09,2000,932000,computed_local_equal_weight_proxy
2026-05-25,1093.777861385054,1127.1146213909706,1057.1787896530318,1093.8955159997472,12228269171.0,658476120087.36,1999,932000,computed_local_equal_weight_proxy
2026-05-26,1093.768386466015,1115.6131062984384,1045.5839219229713,1075.1730027992087,12503130483.0,636080531854.32,1998,932000,computed_local_equal_weight_proxy
2026-05-27,1074.3688344686584,1102.8595034683424,1030.9160230064049,1051.7052956227717,12253974349.0,612074090467.04,1998,932000,computed_local_equal_weight_proxy
2026-05-28,1043.1844528866782,1082.2942725427833,1017.1077021902952,1062.8472271203461,11749805260.0,585714781575.51,1998,932000,computed_local_equal_weight_proxy
2026-05-29,1077.7150092844302,1103.1746805754296,1016.6591064241094,1033.0350499898861,13314830219.0,653421348405.51,1998,932000,computed_local_equal_weight_proxy
