stock_code,stock_name,latest_price,pct_change,turnover_rate,volume,amount,amplitude,pe_dynamic,pb,total_market_value,float_market_value,snapshot_date,source,synthesized_at
000428,华天酒店,3.59,-0.83,1.61,163655.0,60024020.46,4.42,,,,,2026-05-29,derived_from_last_daily_row,20260608
000592,平潭发展,8.58,-3.38,5.9,1130577.0,982686200.68,4.17,,,,,2026-05-29,derived_from_last_daily_row,20260608
000788,北大医药,5.38,1.51,3.0,179011.0,96225830.18,3.4,,,,,2026-05-29,derived_from_last_daily_row,20260608
002026,山东威达,12.28,-5.1,2.32,102369.0,128294654.98,5.41,,,,,2026-05-29,derived_from_last_daily_row,20260608
000601,韶能股份,8.46,5.49,20.31,2131473.0,1776500718.18,9.6,,,,,2026-05-29,derived_from_last_daily_row,20260608
002208,合肥城建,17.06,-4.16,9.54,766415.0,1332188351.98,5.9,,,,,2026-05-29,derived_from_last_daily_row,20260608
001316,润贝航科,36.71,-4.65,2.22,33340.0,124424272.19,5.48,,,,,2026-05-29,derived_from_last_daily_row,20260608
000607,华媒控股,3.6,-2.17,1.51,133890.0,49027840.0,3.8,,,,,2026-05-29,derived_from_last_daily_row,20260608
000782,恒申新材,7.46,-3.62,4.55,240111.0,180802474.0,4.78,,,,,2026-05-29,derived_from_last_daily_row,20260608
002022,科华生物,5.42,0.18,1.36,69754.0,37917510.08,1.85,,,,,2026-05-29,derived_from_last_daily_row,20260608
002029,七匹狼,8.59,0.7,3.01,199989.0,174396932.35,5.74,,,,,2026-05-29,derived_from_last_daily_row,20260608
002282,博深股份,6.19,-1.75,0.96,48664.0,30550181.1,3.17,,,,,2026-05-29,derived_from_last_daily_row,20260608
001317,三羊马,51.26,-3.1,3.41,29169.0,150499650.19,4.65,,,,,2026-05-29,derived_from_last_daily_row,20260608
002021,中捷资源,2.75,-2.83,3.11,371511.0,103611822.75,6.36,,,,,2026-05-29,derived_from_last_daily_row,20260608
000779,甘咨询,7.36,0.27,1.44,67064.0,49497100.72,1.63,,,,,2026-05-29,derived_from_last_daily_row,20260608
002272,川润股份,20.83,-4.23,14.17,578159.0,1234647889.56,9.43,,,,,2026-05-29,derived_from_last_daily_row,20260608
000652,泰达股份,3.73,0.0,1.32,192492.0,72319017.85,3.49,,,,,2026-05-29,derived_from_last_daily_row,20260608
002187,广百股份,5.8,4.32,5.05,354060.0,205556893.84,8.63,,,,,2026-05-29,derived_from_last_daily_row,20260608
002016,世荣兆业,4.75,0.21,2.01,162420.0,78538033.04,6.75,,,,,2026-05-29,derived_from_last_daily_row,20260608
001318,阳光乳业,12.03,0.59,1.16,32654.0,39481407.0,4.35,,,,,2026-05-29,derived_from_last_daily_row,20260608
000655,金岭矿业,7.22,-1.5,1.07,63448.0,46342961.0,3.41,,,,,2026-05-29,derived_from_last_daily_row,20260608
000635,英 力 特,6.96,-2.38,1.41,51662.0,36445966.0,3.79,,,,,2026-05-29,derived_from_last_daily_row,20260608
000777,中核科技,17.63,-4.86,2.53,96970.0,173747323.7,5.02,,,,,2026-05-29,derived_from_last_daily_row,20260608
000797,中国武夷,2.55,0.79,2.34,367695.0,95907234.16,5.53,,,,,2026-05-29,derived_from_last_daily_row,20260608
000576,甘化科工,7.49,-3.23,1.68,72681.0,55089492.14,4.01,,,,,2026-05-29,derived_from_last_daily_row,20260608
000558,天府文旅,3.75,-0.79,2.66,342373.0,130318077.02,3.44,,,,,2026-05-29,derived_from_last_daily_row,20260608
002039,黔源电力,23.18,9.24,7.49,320305.0,718680210.79,10.7,,,,,2026-05-29,derived_from_last_daily_row,20260608
002210,飞马国际,2.9,1.75,12.38,3287059.0,943667079.87,11.23,,,,,2026-05-29,derived_from_last_daily_row,20260608
000560,我爱我家,2.78,1.09,6.17,1442362.0,408700536.26,5.45,,,,,2026-05-29,derived_from_last_daily_row,20260608
002037,保利联合,7.41,,0.016109185241476,7794970.0,58873920.0,,,,,,2026-05-29,derived_from_last_daily_row,20260608
000812,陕西金叶,3.69,-1.86,1.45,109670.0,40770859.78,3.19,,,,,2026-05-29,derived_from_last_daily_row,20260608
001306,夏厦精密,62.15,-6.92,6.82,10569.0,67047078.58,8.37,,,,,2026-05-29,derived_from_last_daily_row,20260608
000561,烽火电子,8.1,-4.26,1.65,128022.0,105173304.74,5.2,,,,,2026-05-29,derived_from_last_daily_row,20260608
002035,华帝股份,5.09,0.59,1.24,96685.0,49295297.05,1.98,,,,,2026-05-29,derived_from_last_daily_row,20260608
002186,全聚德,9.6,0.42,1.19,36405.0,35225275.85,2.62,,,,,2026-05-29,derived_from_last_daily_row,20260608
000803,山高环能,7.88,-1.75,5.19,238794.0,193972699.75,7.11,,,,,2026-05-29,derived_from_last_daily_row,20260608
000565,渝三峡A,6.79,-3.41,2.57,111558.0,77148879.5,4.98,,,,,2026-05-29,derived_from_last_daily_row,20260608
002034,旺能环境,19.37,-5.74,4.49,230799.0,457195240.22,7.25,,,,,2026-05-29,derived_from_last_daily_row,20260608
002269,美邦服饰,1.54,0.65,2.41,564507.0,87573244.86,3.27,,,,,2026-05-29,derived_from_last_daily_row,20260608
000570,苏常柴A,5.54,-2.12,2.35,130767.0,73117812.7,4.24,,,,,2026-05-29,derived_from_last_daily_row,20260608
002283,天润工业,11.19,-6.12,4.71,472771.0,538569011.0,8.05,,,,,2026-05-29,derived_from_last_daily_row,20260608
000798,中水渔业,8.39,-0.24,1.38,50499.0,42395896.11,1.55,,,,,2026-05-29,derived_from_last_daily_row,20260608
001314,亿道信息,58.42,-0.34,5.62,69870.0,418339709.32,7.3,,,,,2026-05-29,derived_from_last_daily_row,20260608
002033,丽江股份,8.63,0.94,3.68,202194.0,175053526.76,2.92,,,,,2026-05-29,derived_from_last_daily_row,20260608
920790,联迪信息,18.6,-3.07,2.5,13602.0,26125088.81,7.03,,,,,2026-05-29,derived_from_last_daily_row,20260608
001311,多利科技,20.3,-2.87,2.83,50072.0,102621537.3,4.69,,,,,2026-05-29,derived_from_last_daily_row,20260608
002009,天奇股份,21.45,-5.51,6.74,238484.0,523071857.2,7.18,,,,,2026-05-29,derived_from_last_daily_row,20260608
000659,珠海中富,4.0,-1.23,1.55,198719.0,79515490.32,2.96,,,,,2026-05-29,derived_from_last_daily_row,20260608
