stock_code,stock_name,n_daily_rows,first_date,last_date,missing_ratio,download_success
300575,中旗股份,0,,,1.0,False
300577,开润股份,0,,,1.0,False
300578,会畅科技,95,2026-01-05,2026-05-29,0.1121,True
300581,晨曦航空,95,2026-01-05,2026-05-29,0.1121,True
300582,英飞特,95,2026-01-05,2026-05-29,0.1121,True
300583,赛托生物,95,2026-01-05,2026-05-29,0.1121,True
300584,海辰药业,95,2026-01-05,2026-05-29,0.1121,True
300586,美联新材,95,2026-01-05,2026-05-29,0.1121,True
300587,天铁科技,0,,,1.0,False
300589,江龙船艇,0,,,1.0,False
300590,移为通信,0,,,1.0,False
300592,华凯易佰,0,,,1.0,False
300596,利安隆,95,2026-01-05,2026-05-29,0.1121,True
300603,立昂技术,95,2026-01-05,2026-05-29,0.1121,True
300606,金太阳,95,2026-01-05,2026-05-29,0.1121,True
300608,思特奇,95,2026-01-05,2026-05-29,0.1121,True
300611,美力科技,95,2026-01-05,2026-05-29,0.1121,True
300612,宣亚国际,95,2026-01-05,2026-05-29,0.1121,True
300616,尚品宅配,95,2026-01-05,2026-05-29,0.1121,True
300617,安靠智电,0,,,1.0,False
300619,金银河,0,,,1.0,False
300622,博士眼镜,0,,,1.0,False
300629,新劲刚,0,,,1.0,False
300631,久吾高科,0,,,1.0,False
300632,光莆股份,95,2026-01-05,2026-05-29,0.1121,True
300636,同和药业,95,2026-01-05,2026-05-29,0.1121,True
300639,凯普生物,95,2026-01-05,2026-05-29,0.1121,True
300643,万通智控,95,2026-01-05,2026-05-29,0.1121,True
300644,南京聚隆,0,,,1.0,False
300647,超频三,0,,,1.0,False
300648,星云股份,0,,,1.0,False
300650,太龙股份,0,,,1.0,False
