stock_code,stock_name,index_code,index_name,exchange,in_date,source,download_date,指数英文名称,成分券英文名称,exchange_en
001217,华尔泰,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"ANHUI HUAERTAI CHEMICAL CO., LTD.",Shenzhen Stock Exchange
001219,青岛食品,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Qingdao Foods Co., Ltd.",Shenzhen Stock Exchange
001222,源飞宠物,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Wenzhou Yuanfei pet toy products Co., Ltd.",Shenzhen Stock Exchange
001223,欧克科技,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"OK Science and Technology Co., Ltd.",Shenzhen Stock Exchange
001229,魅视科技,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Guangdong AVCiT Technology Holding Co., Ltd.",Shenzhen Stock Exchange
001239,永达股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Xiangtan Yongda Machinery Manufacturing Co., Ltd.",Shenzhen Stock Exchange
001256,炜冈科技,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Zhejiang Weigang Technology Co., Ltd.",Shenzhen Stock Exchange
001258,立新能源,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Xinjiang Lixin Energy Co., Ltd",Shenzhen Stock Exchange
001266,宏英智能,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Shanghai Smart Control Co., Ltd.",Shenzhen Stock Exchange
001267,汇绿生态,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Hui Lyu Ecological Technology Groups Co.,Ltd.",Shenzhen Stock Exchange
001277,速达股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Zhengzhou Suda Industry Machinery Service Co., Ltd.",Shenzhen Stock Exchange
001279,强邦新材,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Anhui Strong State New Materials Co., Ltd.",Shenzhen Stock Exchange
001282,三联锻造,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Wuhu Sanlian Forging Co., Ltd.",Shenzhen Stock Exchange
001283,豪鹏科技,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Shenzhen Highpower Technology Co., Ltd.",Shenzhen Stock Exchange
001288,运机集团,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"SICHUAN ZIGONG CONVEYING MACHINE GROUP CO.,LTD.",Shenzhen Stock Exchange
001296,长江材料,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Chongqing Changjiang River Moulding Material (Group) Co., Ltd.",Shenzhen Stock Exchange
001298,好上好,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Shenzhen Best of Best Holdings Co.,Ltd.",Shenzhen Stock Exchange
001300,三柏硕,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Sportsoul Co.,Ltd.",Shenzhen Stock Exchange
001306,夏厦精密,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Zhejiang XiaSha Precision Manufacturing Co.,Ltd.",Shenzhen Stock Exchange
001311,多利科技,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Chuzhou Duoli Automotive Technology Co., Ltd.",Shenzhen Stock Exchange
