date,open,high,low,close,volume,amount,index_code,source
2026-03-26,3284.31,3301.78,3223.31,3234.48,337644962,451486906912.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-27,3191.34,3294.28,3189.51,3285.12,318143057,427279761772.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-30,3247.71,3297.17,3231.66,3297.17,327486845,439689589257.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-31,3290.57,3318.68,3242.21,3242.22,335965370,457672683725.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-01,3299.77,3309.69,3273.49,3309.04,331789138,471255990676.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-02,3297.11,3309.95,3231.2,3251.05,336001849,454058242004.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-03,3258.31,3261.13,3179.49,3183.96,311692405,417573269903.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-07,3189.6,3238.45,3185.66,3227.61,290719840,396252088029.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-08,3288.87,3369.85,3288.87,3369.85,352013186,516658432595.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-09,3343.51,3361.98,3328.81,3344.67,323614018,497553469557.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-10,3365.46,3398.8,3363.42,3368.2,322261944,500581016098.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-13,3350.45,3378.96,3348.33,3378.44,310481312,463620170711.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-14,3401.19,3421.61,3381.7,3421.6,332120176,515387635627.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-15,3435.75,3442.81,3396.84,3405.52,351962018,539227367791.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-16,3409.79,3471.74,3398.89,3469.36,347644021,541035712980.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-17,3462.21,3494.21,3452.43,3486.91,349335418,553682039965.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-20,3489.55,3520.33,3483.88,3519.78,352663983,585222393423.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-21,3507.55,3514.39,3481.42,3513.42,350901575,560038889897.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-22,3496.65,3542.39,3492.02,3541.87,341437144,572491756061.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-23,3538.71,3540.85,3460.7,3485.39,372202242,599510136239.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-24,3466.91,3481.92,3431.56,3458.92,356402606,556076997039.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-27,3450.76,3495.07,3426.27,3493.79,350287280,546420641687.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-28,3480.93,3482.77,3439.59,3453.13,347071093,547212627593.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-29,3430.39,3505.09,3430.29,3494.39,344998794,543947186993.0,932000,stock_zh_index_daily_em(csi932000)
2026-04-30,3495.84,3518.67,3493.85,3512.56,335879283,540998152924.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-06,3540.09,3589.97,3540.09,3583.93,371988008,632678467709.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-07,3593.27,3653.12,3587.4,3653.12,386904662,660607888041.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-08,3636.76,3693.34,3630.98,3689.55,382339754,663694924094.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-11,3716.62,3734.55,3695.97,3731.61,396754466,730256793850.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-12,3733.25,3733.25,3671.39,3698.87,378786574,681309982697.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-13,3682.34,3753.83,3679.56,3753.25,372713601,686302966708.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-14,3766.3,3768.08,3679.3,3679.3,391511500,705701176132.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-15,3680.34,3720.22,3634.5,3663.83,372713273,685234993381.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-18,3649.4,3688.47,3630.39,3674.7,326405832,606794558312.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-19,3667.92,3714.66,3643.57,3714.66,323992456,609388379015.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-20,3697.32,3704.14,3664.63,3700.64,326954097,618030598904.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-21,3712.99,3734.23,3563.87,3570.53,387051829,730110146297.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-22,3595.08,3672.49,3575.16,3664.52,313142087,607438447225.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-25,3683.78,3694.55,3634.55,3674.82,333421425,658476119699.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-26,3654.6,3654.6,3558.73,3609.17,340430470,636080531452.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-27,3602.53,3615.04,3509.62,3534.2,333251025,612074090065.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-28,3523.22,3600.04,3515.59,3589.7,316304221,585714781175.0,932000,stock_zh_index_daily_em(csi932000)
2026-05-29,3598.28,3603.29,3452.75,3470.69,366437631,653421348002.0,932000,stock_zh_index_daily_em(csi932000)
