序号,stock_code,stock_name,资产-货币资金,资产-应收账款,资产-存货,total_assets,资产-总资产同比,负债-应付账款,负债-预收账款,total_liabilities,负债-总负债同比,asset_liability_ratio,equity,announcement_date,report_date_param
390,603166,福达股份,343636538.44,393370590.36,488447516.19,4898024561.42,12.0524760445,251065316.19,,2164177021.64,13.2573354319,44.1846910831,2733847539.78,2026-04-30,20260331
391,603165,荣晟环保,93431192.19,232233279.69,88608956.22,4727643209.38,1.5685830359,181671230.06,2476915.06,2039086851.39,-9.9160487986,43.1311493081,2688556357.99,2026-04-30,20260331
392,603163,圣晖集成,1086493763.68,400038082.87,2313700.82,2338437375.66,12.5199514962,669482247.09,,1122579246.68,21.3275991961,48.0055296056,1215858128.98,2026-04-30,20260331
395,603158,腾龙股份,486527690.34,792714096.51,1275758693.3,4821063700.69,5.042396684,869186597.7,,2396176173.86,18.0278386502,49.7022301016,2424887526.83,2026-04-30,20260331
396,603130,云中马,689054262.99,357392304.27,126255207.92,3085480854.36,3.0593757596,91756796.41,,1650706142.97,-0.1966050059,53.4991536453,1434774711.39,2026-04-30,20260331
400,603117,万林物流,25313853.52,35798638.28,2264903.51,1298870599.6,-5.2023651702,24789154.19,15479196.26,273300506.16,-22.4227169894,21.0413959823,1025570093.44,2026-04-30,20260331
402,603098,森特股份,812469143.82,1874826715.71,278637536.17,5340304622.69,-0.1710753708,881220225.14,,2395703133.03,-4.8134790248,44.860795447,2944601489.66,2026-04-30,20260331
403,603078,江化微,211544165.43,430693439.69,102809492.3,2743816444.13,4.1030620453,176799519.2,,748085711.66,4.2505806753,27.2644226351,1995730732.47,2026-04-30,20260331
404,603070,万控智造,346964147.65,774148601.48,193580203.36,2984773033.34,4.1402172929,242955698.45,163818.46,812230174.75,11.9147979984,27.2124602332,2172542858.59,2026-04-30,20260331
408,603052,可川科技,257064497.71,427974070.86,82029456.56,1730774694.76,7.2148683448,263610193.98,,674012591.97,31.390885349,38.9428268168,1056762102.79,2026-04-30,20260331
