序号,stock_code,stock_name,net_profit,net_profit_yoy,revenue,revenue_yoy,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,operating_profit,total_profit,announcement_date,report_date_param
169,688159,有方科技,27806020.27,57.99,549091583.49,-40.8600201553,438619620.32,11790529.63,16387414.02,9872047.0,501937208.88,31417909.96,31418250.82,2026-04-30,20260331
170,688155,先惠技术,153546863.33,163.46,1033161578.0,98.4071653054,720072034.64,1542683.89,33945700.41,12220583.27,809049353.32,229961030.92,229945277.63,2026-04-30,20260331
171,688152,麒麟信安,-8627248.95,36.93946898985,41234364.99,14.788437829,9807506.64,24779367.26,8748544.17,140084.58,64651502.66,-9907349.97,-9920391.57,2026-04-30,20260331
175,688133,泰坦科技,-32387530.99,-731.36,582902884.3,-3.4880196495,472050672.6,46784672.02,53431189.52,11556195.75,627442346.21,-36246003.45,-36557444.95,2026-04-30,20260331
184,688079,美迪凯,-41487436.96,-159.425014096078,169334154.66,13.2694212239,138758137.02,3712248.94,19269775.45,20235966.1,215187639.6,-49680150.14,-49876834.01,2026-04-30,20260331
187,688073,毕得医药,46829140.4,52.57,323276733.74,9.0770537683,165248354.14,35239041.36,33618012.56,12663764.29,262853915.44,61695880.68,61379932.03,2026-04-30,20260331
188,688071,华依科技,1350867.04,-54.32,156541956.48,10.5995481069,110437332.38,4967132.18,15389840.83,10239931.78,153589422.53,988934.99,1151413.39,2026-04-30,20260331
189,688070,纵横股份,-18361509.78,34.26,52094118.27,34.3422101552,25007792.28,25486326.77,15996171.62,2985813.38,76170252.86,-19718197.22,-19712781.89,2026-04-30,20260331
199,688031,星环科技,-55998432.6,32.997855869461,81245830.77,26.2426151238,48382315.09,29545857.9,22139304.44,417993.19,147375302.6,-55898063.42,-55998432.6,2026-04-30,20260331
201,688025,杰普特,97678469.44,170.98,660862470.64,92.7494410044,376955217.8,40992675.43,50758523.5,11120728.87,529021287.03,118013495.18,115906969.31,2026-04-30,20260331
204,688020,方邦股份,-17312782.48,-1305.94,79927738.16,-9.9209780735,56670588.72,3320508.47,14895321.02,1179911.52,95099364.18,-15249714.02,-15304082.58,2026-04-30,20260331
211,605588,冠石科技,-21934651.17,-134.238104565561,317397019.83,-5.8397267903,320343436.41,4795849.84,9629456.21,5054352.97,351815442.64,-27318003.31,-27317981.18,2026-04-30,20260331
214,605399,晨光新材,-19352506.75,-309.125168332935,334516320.76,43.8645277307,306336637.8,7846053.33,16514693.16,2911623.51,347546018.8,-17956812.68,-18239594.04,2026-04-30,20260331
215,605366,宏柏新材,-28023458.33,-398.708044291505,390712067.07,9.8045278798,382060921.97,8367942.57,19770483.53,11235561.89,436907712.19,-41205123.51,-41042720.1,2026-04-30,20260331
217,605288,凯迪股份,-8590968.16,-149.66,303520552.71,9.326844637,235546070.83,14804792.1,23522621.78,14759130.95,309074268.95,-7154849.3,-8365496.87,2026-04-30,20260331
219,605286,同力天启,9094653.46,-87.47,389383489.18,-28.3526998729,325962587.93,2598286.59,33189835.18,5775970.72,381385983.17,14288275.73,13829662.89,2026-04-30,20260331
220,605259,绿田机械,44959402.23,-21.69,634729591.28,-0.6120541724,514665828.2,16986929.9,15618747.81,4948109.61,587346525.42,44802582.4,44783912.05,2026-04-30,20260331
224,605158,华达新材,-28854048.84,-173.98,1451313234.41,3.6257481973,1411689412.66,3006891.29,15458400.48,6188902.85,1488828031.57,-28110832.03,-28032492.98,2026-04-30,20260331
226,605128,上海沿浦,46312679.86,40.99,448854823.27,3.7308457713,372050848.45,296027.02,14963201.66,-230259.47,408457258.99,56132836.67,54036351.0,2026-04-30,20260331
230,605108,同庆楼,16763874.28,-67.65,717322014.88,3.637684961,594961151.95,39891530.04,29817509.9,23120221.65,694367041.14,27011047.56,26543947.29,2026-04-30,20260331
232,605077,华康股份,22171444.34,-72.64,1186818531.72,45.345921091,1051666684.1,9105246.3,21316629.52,32787350.01,1160408360.86,30005535.22,26613787.34,2026-04-30,20260331
234,605068,明新旭腾,-15415359.31,-246.87,302360057.47,7.4003017305,260629384.28,3276329.8,28648344.94,14598649.95,330673288.41,-19853029.05,-20507660.75,2026-04-30,20260331
235,605056,咸亨国际,25998576.42,20.52,878636366.27,37.3358577792,727623406.57,67630956.76,48021338.32,-3185337.7,858243902.46,36767175.6,36176372.4,2026-04-30,20260331
236,605050,福然德,86556500.23,-4.71,2543643480.37,4.3122812643,2384499111.23,7584289.79,18559704.19,-810879.73,2418607517.78,118715020.68,118706669.4,2026-04-30,20260331
238,605016,百龙创园,120585818.74,48.1,392610242.01,25.3153943,215511169.98,9125681.14,8132500.29,909759.83,251508302.2,142130656.12,142209702.59,2026-04-30,20260331
240,605006,山东玻纤,10082317.29,15.43,844809576.19,39.0540287866,722455486.36,5331282.18,24827418.76,22344370.44,817820033.58,16818299.92,14638443.2,2026-04-30,20260331
242,603989,艾华集团,68822399.97,-0.87,988746446.25,4.7617383487,765001646.89,36878137.04,47989928.88,5075499.87,922110118.61,79917055.65,80117533.5,2026-04-30,20260331
