stock_code,stock_name,total_share,float_share,total_market_value,float_market_value,industry,listing_date,source,download_date
300480,光力科技,370222600.0,270161912.0,12150705732.0,8866713951.84,专用设备,20150702,stock_individual_info_em,20260608
300481,濮阳惠成,291855438.0,290075624.0,3870003107.88,3846402774.24,电子化学品Ⅱ,20150630,stock_individual_info_em,20260608
300516,久之洋,252000000.0,252000000.0,9656640000.0,9656640000.0,其他电子Ⅱ,20160602,stock_individual_info_em,20260608
300520,科大国创,292031018.0,282219160.0,8775532090.9,8480685758.0,软件开发,20160708,stock_individual_info_em,20260608
300522,世名科技,322451507.0,263105621.0,3559864637.28,2904686055.84,化学制品,20160705,stock_individual_info_em,20260608
300523,辰安科技,232637638.0,232630438.0,4799314471.94,4799165935.94,IT服务Ⅱ,20160726,stock_individual_info_em,20260608
300531,优博讯,321078965.0,311608338.0,5095523174.55,4945224324.059999,计算机设备,20160809,stock_individual_info_em,20260608
300532,今天国际,635640300.0,604721509.0,4347779652.0,4136295121.56,IT服务Ⅱ,20160818,stock_individual_info_em,20260608
300533,冰川网络,328246758.0,230963149.0,5166603970.92,3635359965.26,游戏Ⅱ,20160818,stock_individual_info_em,20260608
300534,陇神戎发,303345000.0,302051488.0,2275087500.0,2265386160.0,中药Ⅱ,20160913,stock_individual_info_em,20260608
300537,广信材料,207806521.0,151764458.0,5436218589.36,3970158221.28,电子化学品Ⅱ,20160830,stock_individual_info_em,20260608
300538,同益股份,181918573.0,120985248.0,3119903526.95,2074897003.2,塑料,20160826,stock_individual_info_em,20260608
300539,横河精密,268100662.0,217888237.0,6136824153.18,4987461744.93,塑料,20160830,stock_individual_info_em,20260608
300540,蜀道装备,227591830.0,206727206.0,5851385949.3,5314956466.26,专用设备,20160823,stock_individual_info_em,20260608
300541,先进数通,430044492.0,388018107.0,4425157822.679999,3992706321.03,IT服务Ⅱ,20160913,stock_individual_info_em,20260608
300542,新晨科技,298559899.0,247581984.0,3660344361.74,3035355123.84,软件开发,20160920,stock_individual_info_em,20260608
300543,朗科智能,306371334.0,250198808.0,2561264352.24,2091662034.88,家电零部件Ⅱ,20160908,stock_individual_info_em,20260608
300545,联得装备,185461376.0,119558935.0,6633953419.52,4276623104.95,光学光电子,20160928,stock_individual_info_em,20260608
300546,雄帝科技,187649691.0,134930985.0,3034295503.4700003,2181834027.4500003,计算机设备,20160928,stock_individual_info_em,20260608
300547,川环科技,216906174.0,178223597.0,6891109147.98,5662163676.69,汽车零部件,20160930,stock_individual_info_em,20260608
300550,和仁科技,262560141.0,262300586.0,3736230806.43,3732537338.78,软件开发,20161018,stock_individual_info_em,20260608
300587,天铁科技,1298268797.0,1052612511.0,5855192274.469999,4747282424.61,橡胶,20170105,stock_individual_info_em,20260608
300589,江龙船艇,377667996.0,234428617.0,4811490269.04,2986620580.58,航海装备Ⅱ,20170113,stock_individual_info_em,20260608
300590,移为通信,462236538.0,357814593.0,6702429801.0,5188311598.5,通信设备,20170111,stock_individual_info_em,20260608
300592,华凯易佰,404361469.0,348868974.0,4460107003.07,3848024783.22,互联网电商,20170120,stock_individual_info_em,20260608
300596,利安隆,229619667.0,224687760.0,8397191222.190001,8216831383.2,化学制品,20170119,stock_individual_info_em,20260608
300603,立昂技术,464798231.0,373931204.0,3936841016.57,3167197297.88,通信服务,20170126,stock_individual_info_em,20260608
300606,金太阳,138347826.0,117674486.0,4601448692.759999,3913853404.36,通用设备,20170208,stock_individual_info_em,20260608
300608,思特奇,342670627.0,299007573.0,4091487286.38,3570150421.62,软件开发,20170213,stock_individual_info_em,20260608
300611,美力科技,211074680.0,148302980.0,5882651331.6,4133204052.6,汽车零部件,20170220,stock_individual_info_em,20260608
300612,宣亚国际,182985996.0,182010996.0,2301963829.68,2289698329.68,广告营销,20170215,stock_individual_info_em,20260608
300616,尚品宅配,224515980.0,155216242.0,3125262441.6,2160610088.64,家居用品,20170307,stock_individual_info_em,20260608
