序号,stock_code,stock_name,net_cash_flow,净现金流-同比增长,operating_cash_flow,经营性现金流-净现金流占比,investing_cash_flow,投资性现金流-净现金流占比,financing_cash_flow,融资性现金流-净现金流占比,announcement_date,report_date_param
240,605006,山东玻纤,-31445037.05,-321.622647506,42131949.81,133.9860078492,-128527059.27,-408.7355949546,56426077.75,179.4435085584,2026-04-30,20260331
242,603989,艾华集团,5694400.66,128.8196828005,5613053.88,98.5714601965,-6553402.84,-115.0850323202,13469595.73,236.5410608463,2026-04-30,20260331
243,603988,中电电机,-43989969.96,-17.5915534779,3205852.45,7.287689564,-46535035.72,-105.7855592134,-431506.85,-0.9809209927,2026-04-30,20260331
246,603980,吉华集团,89445974.45,12.9873516451,-19875303.16,-22.2204557357,122583902.72,137.0479817273,-1207391.9,-1.3498560527,2026-04-30,20260331
251,603950,长源东谷,153721155.6,-41.1453384418,216966881.65,141.1431502731,-105440091.09,-68.5917892553,42194365.76,27.4486394506,2026-04-30,20260331
252,603929,亚翔集成,-211229204.0,-123.4259503786,-236625182.6,-112.0229485881,-18177845.45,-8.6057444263,100000000.0,47.3419385702,2026-04-30,20260331
254,603918,金桥信息,-284708996.01,-14.9163707617,-50193428.03,-17.6297302626,-222700521.31,-78.2204020354,-11978454.49,-4.2072623829,2026-04-30,20260331
255,603917,合力科技,-4178584.88,97.0162227077,46442568.48,1111.4425053871,-47316555.87,-1132.3583755944,84900.73,2.0318058012,2026-04-30,20260331
256,603912,佳力图,506552214.57,-30.1285173476,-40052269.15,-7.9068392158,-38693433.37,-7.6385873474,585297917.09,115.5454265632,2026-04-30,20260331
268,603859,能科科技,-480832348.74,-112.3860099848,-117673993.84,-24.4729777746,-350545291.2,-72.9038493601,-11575708.72,-2.4074313532,2026-04-30,20260331
274,603823,百合花,52400946.13,370.9378420176,73483884.36,140.233888483,-18881189.33,-36.0321534713,-321972.24,-0.6144397454,2026-04-30,20260331
278,603815,交建股份,-83756431.08,75.23452737,-90915391.23,-108.5473557764,-4235076.95,-5.056420021,11394037.1,13.6037757974,2026-04-30,20260331
282,603801,志邦家居,-189576394.71,-145.415553969,-340353294.45,-179.5335832663,-8333463.43,-4.3958339026,160359843.8,84.5885079972,2026-04-30,20260331
283,603800,洪田股份,-60826041.26,32.40021979,10121092.43,16.6394067744,-8866239.87,-14.5763881494,-61467825.54,-101.0551143338,2026-04-30,20260331
286,603759,海天股份,-57808589.5,-183.8317937982,-411321166.92,-711.5225790451,-23436465.87,-40.5414940456,377677085.68,653.3234748445,2026-04-30,20260331
287,603738,泰晶科技,24834943.64,845.672919138,62848683.36,253.0655364918,-84863407.83,-341.7096855952,47508616.01,191.2974585273,2026-04-30,20260331
291,603726,朗迪集团,73808005.88,1593.7858827952,16491495.23,22.3437756289,217942921.63,295.283579378,-160591504.64,-217.5800615737,2026-04-30,20260331
296,603711,香飘飘,-95731669.16,65.3376577897,13059909.38,13.6422037708,-236308421.85,-246.8445645245,129453628.22,135.2254999374,2026-04-30,20260331
303,603687,大胜达,-23175155.54,-181.0052608717,8712743.6,37.595189318,-34778282.05,-150.0670922789,2800860.18,12.0856154565,2026-04-30,20260331
304,603668,天马科技,-58935044.89,35.5728981079,116321693.54,197.372707117,-22536348.41,-38.2392996426,-152527569.67,-258.8062331244,2026-04-30,20260331
307,603665,康隆达,-44356714.04,-177.1492420838,-39559352.02,-89.1845865416,-12901074.72,-29.0848296571,18435055.38,41.5609131086,2026-04-30,20260331
311,603628,清源股份,-63183.92,99.8739218262,-56434127.2,-89317.2300800584,45349901.04,71774.4341281769,14197357.35,22469.8900448089,2026-04-30,20260331
314,603602,纵横通信,-30068507.21,45.3425965626,-98008900.39,-325.9519992313,-14307881.95,-47.58427763,82484167.3,274.3207925951,2026-04-30,20260331
315,603598,引力传媒,-48775733.22,53.5191797498,-178656540.94,-366.2816100256,-1052206.89,-2.157234388,131785749.55,270.1871214433,2026-04-30,20260331
317,603577,汇金通,-35304087.63,-162.7726929767,14336292.61,40.6080246578,-26525704.48,-75.1349383618,-23136275.07,-65.5342670585,2026-04-30,20260331
318,603569,长久物流,47677040.91,-47.4182276822,110805964.34,232.4094831077,-80584452.44,-169.0215057434,25702630.98,53.9098704312,2026-04-30,20260331
323,603535,嘉诚国际,165815183.04,287.7544121378,39035610.6,23.5416382772,51639599.97,31.142865824,77203147.56,46.5597577644,2026-04-30,20260331
325,603528,多伦科技,-259982022.87,14.3423088133,-476873.48,-0.1834255595,-262907367.81,-101.1252104694,3402218.42,1.3086360289,2026-04-30,20260331
326,603520,司太立,-95460150.49,18.5560219413,-82906509.21,-86.8493384773,-46735434.35,-48.9580564352,35230534.08,36.9060114604,2026-04-30,20260331
327,603507,振江股份,-55061565.33,-139.6889593565,225758767.04,410.0115310688,-342920874.35,-622.7953606019,86106168.96,156.381621997,2026-04-30,20260331
330,603500,祥和实业,313575595.43,2942.3478884193,-2117537.82,-0.6752878256,-16252608.61,-5.1829953756,332241423.81,105.9525768753,2026-04-30,20260331
331,603499,翔港科技,26071578.4,1039.3354491293,48067010.57,184.3655563639,-18000467.23,-69.0424912287,-3680744.07,-14.1178413272,2026-04-30,20260331
333,603409,汇通控股,203323577.95,-32.8064155654,-2650101.5,-1.3033911397,231344745.07,113.7815630644,-25371065.62,-12.4781719247,2026-04-30,20260331
340,603381,永臻股份,-337424913.19,-214.4164315491,-414920306.74,-122.9667077091,-61702314.93,-18.2862356981,136712359.42,40.5163798154,2026-04-30,20260331
343,603368,柳药集团,-1541241608.55,-21.0629314772,-509151567.09,-33.0351558293,-149613602.12,-9.7073425276,-882476439.34,-57.2575016431,2026-04-30,20260331
346,603357,设计总院,-554147322.15,-77.2329747394,-243126733.47,-43.8740247858,-209484792.5,-37.8030866751,-101535796.06,-18.3228885175,2026-04-30,20260331
349,603350,安乃达,-36105954.77,-159.2546447888,-138918568.64,-384.7525138857,102853793.15,284.8665651004,2092069.14,5.7942496005,2026-04-30,20260331
350,603344,星德胜,204716227.24,-40.4641394945,54771230.1,26.754708622,164199181.43,80.2081904516,-7512081.93,-3.6695097557,2026-04-30,20260331
351,603339,四方科技,-224481715.51,-507.5065594118,-8106920.3,-3.6113944878,-222918382.63,-99.3035811953,7241669.89,3.2259508858,2026-04-30,20260331
352,603336,宏辉果蔬,57951028.1,683.114096132,69718436.77,120.3057806838,14095660.77,24.3234006922,-25776271.67,-44.4794035846,2026-04-30,20260331
353,603333,尚纬股份,-127702945.21,-42517.4482191892,-138573890.3,-108.5126815769,-375151497.82,-293.7688689976,386040918.37,302.2960181029,2026-04-30,20260331
355,603324,盛剑科技,-37556179.68,53.6161402373,-81476650.88,-216.9460567455,-69986883.84,-186.3525109218,114292379.63,304.3237640352,2026-04-30,20260331
359,603315,福鞍股份,-50931461.55,18.9399458612,29884736.77,58.6763777447,-9226494.77,-18.1155114917,-70157159.45,-137.7481763038,2026-04-30,20260331
362,603286,日盈电子,47561728.68,242.5961392001,-10647672.28,-22.3870590399,18537668.92,38.9760200785,40477815.92,85.1058551558,2026-04-30,20260331
363,603280,南方路机,-81683325.01,-151.6856568351,-18918630.96,-23.1609462001,-62107846.47,-76.0349146688,-690323.36,-0.8451215226,2026-04-30,20260331
364,603278,大业股份,-96428236.46,-63.6074965536,29811039.37,30.9152593311,-83324845.45,-86.411251008,-40306645.1,-41.7996290088,2026-04-30,20260331
365,603271,永杰新材,33084590.21,-95.625697648,113121301.57,341.9153776788,-88900993.09,-268.7081584681,9244598.61,27.9423095505,2026-04-30,20260331
366,603266,天龙股份,-32926233.68,-288.7433334712,65743513.88,199.6690982605,-103501442.0,-314.3433986586,5963293.75,18.1110715788,2026-04-30,20260331
368,603258,电魂网络,-65496052.84,38.9384980251,-48357601.08,-73.8328479094,-6236167.82,-9.5214406817,,,2026-04-30,20260331
369,603237,五芳斋,144913820.13,-23.4615739038,119375507.84,82.37689665,-80868640.88,-55.8046436202,106878222.77,73.7529537722,2026-04-30,20260331
371,603232,格尔软件,-47660031.56,69.3014294827,-59876126.9,-125.63173993,13663670.41,28.6690334915,-1447575.07,-3.0372935615,2026-04-30,20260331
373,603222,济民健康,-5981256.1,-102.6922109385,25581078.07,427.6873894432,-31839263.08,-532.3173351497,372724.29,6.2315387231,2026-04-30,20260331
374,603215,比依股份,-148631844.4,-259.9622695113,-21491357.03,-14.4594565968,-100612461.23,-67.6923990523,-22098086.9,-14.8676664743,2026-04-30,20260331
